pedido,data,plataforma,subtotal,taxas,descontos,faturamento,canal_ultimo,origem_ultimo,midia_ultimo,campanha_ultimo,canal_primeiro,origem_primeiro,midia_primeiro,campanha_primeiro,metodo_match
175064713,2026-08-27,app,1348.88,186.77,0,1535.65,Nao identificado,,,,Nao identificado,,,,sem_origem
175064721,2026-08-27,app,1384.27,93.63,82.64,1395.26,Midia paga,google,cpc,[123Milhas] [engajamento] [app] [IOS] [inc],Direto,(direct),(none),(direct),search_id
175064722,2026-08-27,web,3040.83,414.43,0,3455.26,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175064793,2026-08-27,web,706.61,111.48,0,818.09,Nao identificado,,,,Nao identificado,,,,sem_origem
175064794,2026-08-27,web,1296.15,114.62,143.73,1267.04,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175064796,2026-08-27,web,1957.43,206.87,0,2164.3,Nao identificado,,,,Nao identificado,,,,sem_origem
175064810,2026-08-27,app,666.52,223,0,889.52,Nao identificado,,,,Nao identificado,,,,sem_origem
175064813,2026-08-27,app,535.35,60.17,39.18,556.34,Nao identificado,,,,Nao identificado,,,,sem_origem
175064822,2026-08-27,app,1454.32,281.03,0,1735.35,Nao identificado,,,,Nao identificado,,,,sem_origem
175064825,2026-08-27,app,0,630.57,0,630.57,Nao identificado,,,,Nao identificado,,,,sem_origem
175064850,2026-08-27,web,2101.51,61.78,95.83,2067.46,Nao identificado,,,,Nao identificado,,,,sem_origem
175064880,2026-08-27,web,1013.33,180.05,0,1193.38,Nao identificado,,,,Nao identificado,,,,sem_origem
175064925,2026-08-27,web,523.38,94.98,0,618.36,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175064935,2026-08-27,web,1855.76,129.76,0,1985.52,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175064944,2026-08-27,web,300.99,65.79,0,366.78,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175064953,2026-08-27,app,2108.29,223.33,0,2331.62,Nao identificado,,,,Nao identificado,,,,sem_origem
175064955,2026-08-27,web,1411.54,262.42,0,1673.96,Nao identificado,,,,Nao identificado,,,,sem_origem
175064990,2026-08-27,app,1175.06,122.58,0,1297.64,Nao identificado,,,,Nao identificado,,,,sem_origem
175064991,2026-08-27,web,819.75,137.67,0,957.42,Nao identificado,,,,Nao identificado,,,,sem_origem
175065009,2026-08-27,app,1088.36,215.64,0,1304,Nao identificado,,,,Nao identificado,,,,sem_origem
175065043,2026-08-27,web,1917.4,282.76,0,2200.16,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065053,2026-08-27,web,1192.41,196.17,0,1388.58,Nao identificado,,,,Nao identificado,,,,sem_origem
175065055,2026-08-27,app,1296.57,59.45,59.12,1296.9,Nao identificado,,,,Nao identificado,,,,sem_origem
175065058,2026-08-27,app,373.73,86.45,0,460.18,Nao identificado,,,,Nao identificado,,,,sem_origem
175065064,2026-08-27,web,379.9,37.9,0,417.8,Nao identificado,,,,Nao identificado,,,,sem_origem
175065070,2026-08-27,web,1584.16,145.6,94.56,1635.2,Nao identificado,,,,Nao identificado,,,,sem_origem
175065077,2026-08-27,app,1085.47,93.47,0,1178.94,Nao identificado,,,,Nao identificado,,,,sem_origem
175065104,2026-08-27,web,706.1,102.98,0,809.08,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065105,2026-08-27,web,558.89,98.57,0,657.46,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065112,2026-08-27,web,1143.8,205.24,0,1349.04,Direto,(direct),(none),(direct),Direto,(direct),(none),(direct),search_id
175065117,2026-08-27,web,387.31,69.79,0,457.1,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065141,2026-08-27,web,2236.55,294.47,0,2531.02,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065142,2026-08-27,web,925.55,40.91,102.64,863.82,Nao identificado,,,,Nao identificado,,,,sem_origem
175065157,2026-08-27,app,2903.6,605.36,0,3508.96,Nao identificado,,,,Nao identificado,,,,sem_origem
175065166,2026-08-27,web,456.85,157.92,0,614.77,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065192,2026-08-27,web,1289.43,218.48,0,1507.91,Nao identificado,,,,Nao identificado,,,,sem_origem
175065206,2026-08-27,web,2084.02,394.2,0,2478.22,Nao identificado,,,,Nao identificado,,,,sem_origem
175065219,2026-08-27,web,1037.49,54.18,47.31,1044.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175065230,2026-08-27,web,1058.09,184.49,0,1242.58,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065254,2026-08-27,web,356.76,66.12,0,422.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175065258,2026-08-27,app,676.75,40.75,0,717.5,Nao identificado,,,,Nao identificado,,,,sem_origem
175065272,2026-08-27,app,2835.9,502.47,0,3338.37,Nao identificado,,,,Nao identificado,,,,sem_origem
175065286,2026-08-27,web,310.46,64.46,0,374.92,Nao identificado,,,,Nao identificado,,,,sem_origem
175065310,2026-08-27,web,1081.55,179.39,0,1260.94,Nao identificado,,,,Nao identificado,,,,sem_origem
175065314,2026-08-27,web,1289.43,218.48,0,1507.91,Nao identificado,,,,Nao identificado,,,,sem_origem
175065321,2026-08-27,app,907.65,55.65,0,963.3,Nao identificado,,,,Nao identificado,,,,sem_origem
175065343,2026-08-27,web,1553.24,76.5,92.74,1537,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065346,2026-08-27,app,266.94,56.94,0,323.88,Nao identificado,,,,Nao identificado,,,,sem_origem
175065363,2026-08-27,app,885.68,61.78,0,947.46,Nao identificado,,,,Nao identificado,,,,sem_origem
175065372,2026-08-27,web,417.59,39.55,36.04,421.1,Nao identificado,,,,Nao identificado,,,,sem_origem
175065377,2026-08-27,web,2024,247.16,120.84,2150.32,Nao identificado,,,,Nao identificado,,,,sem_origem
175065419,2026-08-27,web,986.63,195.35,0,1181.98,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065420,2026-08-27,web,313.94,95.54,0,409.48,Nao identificado,,,,Nao identificado,,,,sem_origem
175065429,2026-08-27,web,1553.24,76.5,92.74,1537,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065441,2026-08-27,web,1409.43,245.96,0,1655.39,Nao identificado,,,,Nao identificado,,,,sem_origem
175065450,2026-08-27,web,930.75,189.03,0,1119.78,Nao identificado,,,,Nao identificado,,,,sem_origem
175065467,2026-08-27,web,2350.13,74.1,172.03,2252.2,Nao identificado,,,,Nao identificado,,,,sem_origem
175065476,2026-08-27,web,1195.13,333.29,0,1528.42,Nao identificado,,,,Nao identificado,,,,sem_origem
175065489,2026-08-27,web,2357.89,291.11,140.78,2508.22,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065500,2026-08-27,web,2024,247.16,120.84,2150.32,Nao identificado,,,,Nao identificado,,,,sem_origem
175065505,2026-08-27,app,897.18,67.62,53.56,911.24,Nao identificado,,,,Nao identificado,,,,sem_origem
175065525,2026-08-27,web,1367.76,129.76,0,1497.52,Nao identificado,,,,Nao identificado,,,,sem_origem
175065527,2026-08-27,app,1397.28,238.08,0,1635.36,Nao identificado,,,,Nao identificado,,,,sem_origem
175065537,2026-08-27,web,1090.98,175.38,0,1266.36,Metasearch,skyscanner,metasearch,,Nao identificado,,,,url_checkout
175065560,2026-08-27,web,266.1,82.98,0,349.08,Nao identificado,,,,Nao identificado,,,,sem_origem
